id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode
78,2015-04-20,480000.0,3,1.0,1040,5060,1.0,0,0,3,7,1040,0,1941,0,98116
79,2014-06-09,410000.0,3,1.0,1410,5060,1.0,0,0,4,7,910,500,1956,0,98133
80,2015-03-23,720000.0,4,2.5,3450,39683,2.0,0,0,3,10,3450,0,2002,0,98010
81,2014-12-02,390000.0,3,2.5,2350,5100,2.0,0,0,3,8,2350,0,2003,0,98038
82,2014-12-22,360000.0,4,2.5,1900,5889,2.0,0,0,3,7,1900,0,1992,0,98038
83,2014-10-28,355000.0,2,1.0,2020,6720,1.0,0,0,3,7,1010,1010,1948,0,98118
84,2015-01-28,356000.0,3,1.5,1680,8712,1.0,0,0,3,8,1680,0,1964,0,98059
85,2014-06-02,315000.0,3,1.0,960,6634,1.0,0,0,3,6,960,0,1952,0,98125
86,2014-11-14,940000.0,3,1.5,2140,3600,2.0,0,0,3,9,1900,240,1925,0,98119
87,2014-11-03,305000.0,5,2.25,2660,8400,1.5,0,0,5,7,2660,0,1961,0,98092
88,2014-06-18,461000.0,3,3.25,2770,6278,2.0,0,0,3,9,1980,790,2006,0,98056
89,2014-05-19,215000.0,2,2.25,1610,2040,2.0,0,0,4,7,1610,0,1979,0,98056
90,2014-09-04,335000.0,2,1.75,1030,1066,2.0,0,0,3,7,765,265,2006,0,98136
91,2014-05-22,243500.0,4,2.5,1980,7403,2.0,0,0,3,7,1980,0,1988,0,98023
92,2015-03-11,1099880.0,5,2.75,3520,6353,2.0,0,0,4,10,3520,0,2001,0,98199
93,2015-02-26,153000.0,3,1.0,1200,10500,1.0,0,0,3,7,1200,0,1962,0,98023
94,2014-07-25,430000.0,3,1.5,1580,5000,1.0,0,0,3,8,1290,290,1939,0,98117
95,2014-12-23,700000.0,3,1.5,1580,5000,1.0,0,0,3,8,1290,290,1939,0,98117
96,2014-09-08,905000.0,4,2.5,3300,10250,1.0,0,0,3,7,2390,910,1946,1991,98040
97,2015-03-30,247500.0,3,1.75,1960,15681,1.0,0,0,3,7,1960,0,1967,0,98032
98,2014-09-12,199000.0,4,1.5,1160,6400,1.0,0,0,4,7,1160,0,1975,0,98023
99,2014-07-11,314000.0,3,1.75,1810,41800,1.0,0,0,5,7,1210,600,1980,0,98038
100,2014-05-16,437500.0,3,2.5,2320,36847,2.0,0,2,3,9,2320,0,1992,0,98045
